,name,rarad,vlg
0,rf0001,0.00023444575000385333,6683.8
1,rf0002,0.02001520896906821,6583.8
2,rf0003,0.040412386735593886,5962.9
3,rf0004,0.0515934842866574,6365.9
4,rf0005,0.052804259331338664,5565.4
5,rf0006,0.07316231554268089,5543.7
6,rf0007,0.07481759802257706,5811.1
7,rf0008,0.07605759686025373,5549.8
8,rf0009,0.07708270377910784,5330.5
9,rf0010,0.07812406669461501,5446.7
10,rf0011,0.07820630486363973,5550.7
11,rf0012,0.08296550881055066,5541.2
12,rf0013,0.08634620633567594,5469.5
13,rf0014,0.08739311416221669,5850.6
14,rf0015,0.08914689255311993,5232.0
15,rf0016,0.0892687217708969,5632.0
16,rf0017,0.08935360934972614,5521.8
17,rf0018,0.08972971558622615,5355.0
18,rf0019,0.09175658389985969,5817.2
19,rf0020,0.09184148195066445,5761.6
20,rf0021,0.09419695387454646,5617.6
21,rf0022,0.09496172224618533,5477.1
22,rf0023,0.10382392299317163,5562.0
23,rf0024,0.11158650871553619,5501.7
24,rf0025,0.11526776590048889,5499.9
25,rf0026,0.1217268262910627,4480.1
26,rf0027,0.12460898622331902,4515.9
27,rf0028,0.13408607170177067,5995.9
28,rf0029,0.1346950502390473,5880.0
29,rf0030,0.13531008855948684,5892.6
30,rf0031,0.13614398244148018,5954.2
31,rf0032,0.13841554068025555,5495.9
32,rf0033,0.13889939307279822,5999.4
33,rf0034,0.15928474797897088,5400.1
34,rf0035,0.1635419236745089,4387.6
35,rf0036,0.1687468218805261,4428.5
36,rf0037,0.1727085499856158,4527.4
37,rf0038,0.17332223742121425,4325.7
38,rf0039,0.1748649391830398,4432.5
39,rf0040,0.17649111480700053,5984.3
40,rf0041,0.17651074976108547,4535.4
41,rf0042,0.17708920423507393,5900.3
42,rf0043,0.17728944586015521,5966.1
43,rf0044,0.17885559961113984,5808.1
44,rf0045,0.1792114024324514,5781.6
45,rf0046,0.18102923266157359,5385.1
46,rf0047,0.1815150625121587,5555.9
47,rf0048,0.18165961068080888,5543.7
48,rf0049,0.18181731863201908,5374.5
49,rf0050,0.18225459342281375,5555.2
50,rf0051,0.18256119541251162,5942.5
51,rf0052,0.18353337871245748,5490.2
52,rf0053,0.18393202936690548,5513.0
53,rf0054,0.18408319233342071,5593.8
54,rf0055,0.18441569500921814,5482.5
55,rf0056,0.18551907470903645,5372.3
56,rf0057,0.19139699456390294,5583.3
57,rf0058,0.19413250146043123,5592.0
58,rf0059,0.19481602475538976,5733.2
59,rf0060,0.20414013212490412,4871.4
60,rf0061,0.20629358916918483,5898.7
61,rf0062,0.21640227439734813,5399.5
62,rf0063,0.21760396849393127,4748.7
63,rf0064,0.2202792964378508,5818.4
64,rf0065,0.22191814315218095,4692.5
65,rf0066,0.22612480552850775,4735.7
66,rf0067,0.23852210609822627,5686.4
67,rf0068,0.24325317010160727,5516.0
68,rf0069,0.24370634484188763,4600.4
69,rf0070,0.2534828415535189,5279.5
70,rf0071,0.25662649369562607,5548.8
71,rf0072,0.2571120093869458,5474.3
72,rf0073,0.2577358075149011,5450.2
73,rf0074,0.26050461529355745,5398.4
74,rf0075,0.2654480160537361,5591.2
75,rf0076,0.270596388281269,5611.2
76,rf0077,0.2736114794706742,5644.7
77,rf0078,0.27444534542739957,5573.3
78,rf0079,0.27485228639579456,4925.8
79,rf0080,0.2750163298921895,5363.1
80,rf0081,0.2759013165427057,5146.5
81,rf0082,0.2763096188679173,5624.9
82,rf0083,0.2773334464604296,5399.7
83,rf0084,0.27771434711638493,5333.0
84,rf0085,0.2786437873029495,5417.4
85,rf0086,0.2788181282419312,5367.1
86,rf0087,0.27978442978229784,5703.8
87,rf0088,0.27990051163084795,5630.2
88,rf0089,0.28029078470488644,5365.1
89,rf0090,0.2803091455686174,4942.5
90,rf0091,0.2803279427646614,4730.2
91,rf0092,0.2803557982195233,5511.1
92,rf0093,0.2804739395565907,5482.3
93,rf0094,0.2804885479624299,5484.5
94,rf0095,0.28137770594985845,5347.6
95,rf0096,0.2820689436001108,5772.7
96,rf0097,0.28222462696938866,5229.1
97,rf0098,0.28227435139977797,5835.4
98,rf0099,0.283027408612136,5910.5
99,rf0100,0.2833826180215019,5144.5
100,rf0101,0.28413059632573656,5422.7
101,rf0102,0.284984201956302,6041.9
102,rf0103,0.2857576620676157,5425.3
103,rf0104,0.2875518605386659,5408.4
104,rf0105,0.2879508951655494,6014.3
