,name,rarad,vlg
0,rf0002,0.02001520896906821,6583.8
1,rf0003,0.040412386735593886,5962.9
2,rf0010,0.07812406669461501,5446.7
3,rf0011,0.07820630486363973,5550.7
4,rf0013,0.08634620633567595,5469.5
5,rf0015,0.08914689255311993,5232.0
6,rf0016,0.0892687217708969,5632.0
7,rf0022,0.09496172224618533,5477.1
8,rf0024,0.11158650871553619,5501.7
9,rf0029,0.13469505023904726,5880.0
10,rf0030,0.13531008855948684,5892.6
11,rf0031,0.13614398244148015,5954.2
12,rf0040,0.17649111480700053,5984.3
13,rf0048,0.18165961068080888,5543.7
14,rf0053,0.18393202936690548,5513.0
15,rf0060,0.20414013212490412,4871.4
16,rf0062,0.21640227439734813,5399.5
17,rf0064,0.2202792964378508,5818.4
18,rf0065,0.22191814315218095,4692.5
19,rf0072,0.2571120093869458,5474.3
20,rf0073,0.2577358075149011,5450.2
21,rf0092,0.2803557982195233,5511.1
22,rf0125,0.3082164192559386,5579.7
23,rf0127,0.3097477013284683,5755.2
24,rf0129,0.3123808970242447,4642.9
25,rf0132,0.3135277354224377,5635.4
26,rf0134,0.31662475236693155,5832.5
27,rf0138,0.31769338256134266,5375.0
28,rf0164,0.3496342692296554,5676.8
29,rf0166,0.35464158394704215,5320.5
30,rf0169,0.36065059548202594,6032.2
31,rf0176,0.3661393592735752,5595.7
32,rf0180,0.3687547875175663,5172.4
33,rf0190,0.3730017146397366,6389.2
34,rf0201,0.377859978239003,6472.1
35,rf0204,0.3785717584145514,6339.6
36,rf0205,0.3788630364134167,4938.5
37,rf0223,0.3902687805284921,4989.6
38,rf0234,0.4010365893486711,5472.2
39,rf0237,0.4059330931118487,4718.8
40,rf0241,0.4090363059751872,5846.6
41,rf0248,0.41718072784998605,5259.5
42,rf0249,0.41889282603302236,5245.7
43,rf0250,0.4240534330186117,5766.6
44,rf0251,0.4259480402815291,4995.0
45,rf0258,0.4473088981038849,5255.7
46,rf0263,0.4734638961287889,5482.8
47,rf0267,0.49736689581984456,4885.7
48,rf0271,0.49933629044120986,5563.4
49,rf0283,0.5043936786548362,6807.7
50,rf0284,0.5069144926000768,4523.8
51,rf0287,0.5108969674339849,6756.2
52,rf0292,0.5200638555444796,5882.7
53,rf0295,0.5332279490677693,5962.4
54,rf0298,0.5444849038641123,6064.9
55,rf0306,0.5670131251566646,6157.8
56,rf0309,0.5720618390839084,5967.1
57,rf0315,0.5831148696104484,6063.4
58,rf0319,0.5981245615512595,6487.2
59,rf0324,0.637137312909143,6962.7
60,rf0338,0.6613090758517134,6244.0
61,rf0339,0.6616049266132189,6153.4
62,rf0343,0.662101664771629,6004.2
63,rf0348,0.663195637146779,6581.2
64,rf0351,0.664644016079839,6567.0
65,rf0354,0.6654094127700086,6239.1
66,rf0358,0.666004378058721,6577.4
67,rf0363,0.666677813350603,6885.6
68,rf0364,0.6667887115712746,6738.6
69,rf0366,0.6668729935208536,6146.6
70,rf0372,0.6676798592340505,6735.4
71,rf0375,0.6698855365295509,6316.8
72,rf0377,0.6713446492375107,6735.5
73,rf0383,0.6945375966289774,6184.9
74,rf0385,0.7050385795131114,6563.2
75,rf0386,0.707853917769626,6647.4
76,rf0388,0.7156951585000609,6819.0
77,rf0396,0.7358513551661053,6530.2
78,rf0397,0.7367347012071247,6498.1
79,rf0399,0.7399780989159833,6589.7
80,rf0400,0.7403800133361326,6605.4
81,rf0403,0.7425981697357846,6386.1
82,rf0415,0.7671394363342948,5045.3
83,rf0419,5.7675925313931105,5372.7
84,rf0428,5.86990076508529,4948.8
85,rf0439,5.96753169091505,4904.6
86,rf0444,5.988127797819058,5104.9
87,rf0474,6.160997598774267,5472.2
88,rf0477,6.162853058302062,5438.9
89,rf0488,6.206537951347779,6728.0
90,rf0496,6.226584454070339,6795.7
91,rf0499,6.239389236660517,6929.4
92,rf0500,6.240308501577543,6943.8
93,rf0503,6.249927883749909,6936.1
